ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price
932,,"Уголь березовый, 9 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/ugol-berezovyj-9-kg/,https://baron.kz/image/cache/catalog/catalog/shashlyk/ugol-berezovyj-9-kg-600x400.jpg,,,,4375.00 KZT,
1195,,"Уголь древесный березовый, 3 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/ugol-drevesnyj-berezovyj-3-kg/,https://baron.kz/image/cache/catalog/catalog/shashlyk/ugol-drevesnyj-berezovyj-3-kg-600x400.jpg,,,,2235.00 KZT,
1194,,"Уголь древесный березовый, 5 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/ugol-drevesnyj-berezovyj-5-kg/,https://baron.kz/image/cache/catalog/catalog/shashlyk/ugol-drevesnyj-berezovyj-5-kg-600x400.jpg,,,,3375.00 KZT,
1196,,"Уголь березовый брикетированный, 4 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/ugol-berezovyj-briketirovannyj-2-kg/,https://baron.kz/image/cache/catalog/catalog/shashlyk/ugol-berezovyj-briketirovannyj-2-kg-600x400.jpg,,,,3000.00 KZT,
930,,Отборные дрова из берёзы в коробке,https://baron.kz/myasnye-produkty/shashlyk-i-gril/otbornye-drova-iz-beryozy-v-korobke/,https://baron.kz/image/cache/catalog/catalog/shashlyk/otbornye-drova-iz-beryozy-v-korobke-600x400.jpg,,,,2460.00 KZT,
1405,,Дрова для камина из фруктовых пород,https://baron.kz/myasnye-produkty/shashlyk-i-gril/drova-dlya-kamina-iz-fruktovyh-porod/,https://baron.kz/image/cache/catalog/catalog/shashlyk/drova-dlya-kamina-iz-fruktovyh-porod-600x400.jpg,,,,1520.00 KZT,
981,,"Стейк рибай «Boszhan» зам., 300 г",https://baron.kz/myasnye-produkty/shashlyk-i-gril/stejk-ribaj-boszhan-zam-300-g/,https://baron.kz/image/cache/catalog/catalog/frozen/stejk-ribaj-boszhan-zam-300-g-600x400.jpg,,,,3000.00 KZT,
967,,"Стейк рибай на кости «Boszhan» зам., 500 г",https://baron.kz/myasnye-produkty/shashlyk-i-gril/stejk-ribaj-na-kosti-boszhan-zam-500-g/,https://baron.kz/image/cache/catalog/catalog/burgerihot-dog/stejk-ribaj-na-kosti-boszhan-600x400.jpg,,,,4375.00 KZT,
879,,"Колбаса «Докторская», 700 г",https://baron.kz/myasnye-produkty/kolbasy/kolbasa-doktorskaya-700-/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbasa-doktorskaya-700-g-n-600x400.jpg,,,,2289.00 KZT,
889,,"Сервелат «Полтавский» в/к, 300 г",https://baron.kz/myasnye-produkty/kolbasy/servelat-poltavskiy-v-k-400-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/servelat-poltavskij-v-k-300-g-n-600x400.jpg,,,,1463.00 KZT,
851,,"Колбаса «Особая» (без свинины), 700 г",https://baron.kz/myasnye-produkty/kolbasy/kolbasa-osobaya-bez-svininy-600-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbasa-osobaya-bez-svininy-500-g-n-600x400.jpg,,,,1978.00 KZT,
1163,,"Сервелат «Таллинский» в/к, 300 г",https://baron.kz/myasnye-produkty/kolbasy/servelat-tallinskij-v-k-400-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/servelat-tallinskij-v-k-300-g-n-600x400.jpg,,,,1185.00 KZT,
888,,"Колбаса «Особая» в/к (без свинины), 500 г",https://baron.kz/myasnye-produkty/kolbasy/kolbasa-osobaya-v-k-bez-svininy-500-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbasa-osobaya-v-k-bez-svininy-500-g-n-600x400.jpg,,,,1498.00 KZT,
840,,"Колбаса «Краковская» в/к, 300 г",https://baron.kz/myasnye-produkty/kolbasy/kolbasa-krakovskaya-v-k-400-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbasa-krakovskaya-v-k-300-g-n-600x400.jpg,,,,1347.00 KZT,
882,,"Ливерная колбаса, 500 г",https://baron.kz/myasnye-produkty/kolbasy/livernaya-kolbasa-500-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/livernaya-kolbasa-500-g-n-600x400.jpg,,,,778.00 KZT,
883,,"Колбаса «Любительская», 700 г",https://baron.kz/myasnye-produkty/kolbasy/kolbasa-lyubitelskaya-600-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbasa-lyubitelskaya-700-g-n-600x400.jpg,,,,2097.00 KZT,
1128,,"Колбаски с сыром, 300 г",https://baron.kz/myasnye-produkty/kolbaski/kolbaski-s-syrom-300-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbaski-s-syrom-300-g-n-600x400.jpg,,,,1925.00 KZT,
1129,,"Ветчина, 700 г",https://baron.kz/myasnye-produkty/kolbasy/vetchina-700-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/vetchina-700-g-n-600x400.jpg,,,,2643.00 KZT,
